Date,Open,High,Low,Close,Adj Close,Volume,Ticker
18/08/2022,123.010002,123.129997,121.709999,122.669998,122.669998,7343900,DIS
19/08/2022,121.25,121.389999,119.480003,120.139999,120.139999,8702500,DIS
22/08/2022,117.699997,118.209999,115.690002,115.940002,115.940002,11575800,DIS
23/08/2022,115.980003,116.370003,114.620003,114.860001,114.860001,7180700,DIS
24/08/2022,114.669998,117.160004,114.099998,116.410004,116.410004,7840500,DIS
25/08/2022,117.019997,117.769997,116.110001,117.459999,117.459999,6920900,DIS
26/08/2022,117.470001,118.370003,113.889999,114.07,114.07,7807400,DIS
29/08/2022,112.540001,114.470001,112.410004,113.529999,113.529999,6882700,DIS
30/08/2022,114.279999,114.75,111.449997,112.43,112.43,8060000,DIS
31/08/2022,112.870003,113.75,111.849998,112.080002,112.080002,7353000,DIS
01/09/2022,111.790001,112.589996,110.029999,112.529999,112.529999,7718700,DIS
02/09/2022,113.050003,113.889999,110.839996,111.199997,111.199997,8465100,DIS
06/09/2022,111.769997,111.779999,108.519997,110.089996,110.089996,9537300,DIS
07/09/2022,109.870003,112.959999,109.870003,112.690002,112.690002,8193900,DIS
08/09/2022,111.07,112.989998,110.360001,112.330002,112.330002,8443300,DIS
09/09/2022,113.269997,115.529999,113.190002,115.18,115.18,9563100,DIS
12/09/2022,116.139999,117.489998,115.269997,116.389999,116.389999,7923400,DIS
13/09/2022,113.050003,113.82,111.169998,111.760002,111.760002,10504600,DIS
14/09/2022,111.849998,112.739998,109.879997,112.5,112.5,8610400,DIS
15/09/2022,112.389999,114.410004,110.709999,110.769997,110.769997,9739800,DIS
16/09/2022,109.209999,109.580002,106.959999,108.25,108.25,15978800,DIS
19/09/2022,107.529999,109.220001,107.040001,109.169998,109.169998,7979500,DIS
20/09/2022,108.279999,108.410004,106.860001,107.57,107.57,6957400,DIS
21/09/2022,107.389999,108.040001,104.489998,104.489998,104.489998,9776400,DIS
22/09/2022,104.209999,104.660004,102.019997,102.160004,102.160004,10953400,DIS
23/09/2022,100.620003,101.18,98.019997,99.5,99.5,11976900,DIS
26/09/2022,98.949997,100.660004,98.059998,98.120003,98.120003,9760500,DIS
27/09/2022,99.529999,99.639999,95.43,95.849998,95.849998,13360200,DIS
28/09/2022,95.790001,99.870003,95.449997,99.400002,99.400002,12895500,DIS
29/09/2022,98.529999,98.599998,96.230003,97.449997,97.449997,9435100,DIS
30/09/2022,96.5,97.480003,94.279999,94.330002,94.330002,12094900,DIS
03/10/2022,95.730003,97.779999,94.5,97.129997,97.129997,9468400,DIS
04/10/2022,98.68,101.519997,98.230003,101.440002,101.440002,10229000,DIS
05/10/2022,100.040001,101.220001,98.699997,100.800003,100.800003,7562800,DIS
06/10/2022,100.43,101.459999,99.870003,100.040001,100.040001,6728200,DIS
07/10/2022,98.510002,98.800003,96.449997,97.160004,97.160004,7051000,DIS
10/10/2022,97.589996,97.739998,94.419998,95.160004,95.160004,9532300,DIS
11/10/2022,94.809998,95.059998,92.650002,93.099998,93.099998,8900900,DIS
12/10/2022,93.160004,94.07,92.199997,93.410004,93.410004,6156200,DIS
13/10/2022,91.57,96.970001,90.709999,96.639999,96.639999,11025400,DIS
14/10/2022,97.470001,98.089996,94.330002,94.449997,94.449997,8202100,DIS
17/10/2022,96.379997,97.970001,96.260002,97.330002,97.330002,7083800,DIS
18/10/2022,99.870003,100.370003,97.639999,98.480003,98.480003,8533500,DIS
19/10/2022,100.440002,101.870003,98.5,98.989998,98.989998,11731000,DIS
20/10/2022,98.230003,100.75,98.110001,98.589996,98.589996,8212400,DIS
21/10/2022,98.349998,102.300003,97.889999,102.040001,102.040001,10193400,DIS
24/10/2022,102.120003,103.190002,100.120003,101.720001,101.720001,8221500,DIS
25/10/2022,102.160004,104.730003,102.029999,104.360001,104.360001,7687500,DIS
26/10/2022,103.529999,107.43,103.529999,104.629997,104.629997,9203700,DIS
27/10/2022,105.809998,106.870003,104.309998,104.440002,104.440002,8673500,DIS
28/10/2022,104.080002,106.089996,103.529999,105.949997,105.949997,7250900,DIS
31/10/2022,105.660004,106.900002,104.82,106.540001,106.540001,8814800,DIS
01/11/2022,107.699997,108.839996,105.639999,106,106,7955800,DIS
02/11/2022,105.449997,106.080002,101.790001,101.82,101.82,9583200,DIS
03/11/2022,100.199997,100.699997,98.559998,99.25,99.25,8978400,DIS
04/11/2022,101.150002,101.160004,98.110001,99.580002,99.580002,11035800,DIS
07/11/2022,100.879997,101.559998,98.989998,100.43,100.43,11355200,DIS
08/11/2022,100.739998,101.970001,98.050003,99.900002,99.900002,27130300,DIS
09/11/2022,90.550003,91.099998,86.279999,86.75,86.75,62029800,DIS
10/11/2022,89.75,90.5,87.610001,90.459999,90.459999,36968100,DIS
11/11/2022,91.580002,95.580002,91.099998,95.010002,95.010002,22373300,DIS
14/11/2022,95.849998,96.620003,94.209999,94.279999,94.279999,20598000,DIS
15/11/2022,96,97.18,93.699997,95.510002,95.510002,15801900,DIS
16/11/2022,95.220001,95.220001,93.720001,93.949997,93.949997,11137700,DIS
17/11/2022,92.120003,92.269997,90.849998,91.449997,91.449997,12306400,DIS
18/11/2022,92.860001,93.160004,90.910004,91.800003,91.800003,10011700,DIS
21/11/2022,100.120003,100.889999,96.32,97.580002,97.580002,70273500,DIS
22/11/2022,97,97.669998,94.68,96.209999,96.209999,25753700,DIS
23/11/2022,96,99.339996,95.779999,98.879997,98.879997,15503200,DIS
25/11/2022,98.809998,99.809998,98.080002,98.870003,98.870003,6664300,DIS
28/11/2022,98.209999,99.129997,95.43,95.690002,95.690002,13660000,DIS
29/11/2022,96,96.43,93.919998,94.690002,94.690002,13205300,DIS
30/11/2022,94.949997,97.940002,93.870003,97.870003,97.870003,15368100,DIS
01/12/2022,97.870003,98.839996,96.580002,98.589996,98.589996,13855700,DIS
02/12/2022,97.459999,99.690002,97.010002,99.43,99.43,12608100,DIS
05/12/2022,98.239998,99.160004,95.669998,95.93,95.93,10764500,DIS
06/12/2022,95.730003,96,91.980003,92.290001,92.290001,11492400,DIS
07/12/2022,92.660004,92.790001,91.260002,92.150002,92.150002,10353400,DIS
08/12/2022,92.5,93.43,91.669998,92.550003,92.550003,9351200,DIS
09/12/2022,92.370003,94.910004,91.900002,93.379997,93.379997,10111900,DIS
12/12/2022,93.730003,94.660004,92.610001,94.660004,94.660004,14140700,DIS
13/12/2022,96.489998,97.389999,93.57,94.699997,94.699997,22882100,DIS
14/12/2022,94.540001,95.470001,92.620003,94.150002,94.150002,11505400,DIS
15/12/2022,92.470001,93.120003,90.120003,90.489998,90.489998,15957700,DIS
16/12/2022,90.190002,91.080002,88.809998,90.080002,90.080002,26383900,DIS
19/12/2022,89.440002,89.459999,85.410004,85.779999,85.779999,19225300,DIS
20/12/2022,86.080002,87.839996,85.760002,87.019997,87.019997,14918400,DIS
21/12/2022,87.190002,88.099998,86.480003,86.919998,86.919998,11004800,DIS
22/12/2022,86.029999,86.730003,84.690002,86.669998,86.669998,15487400,DIS
23/12/2022,86.059998,88.07,85.769997,88.010002,88.010002,11171600,DIS
27/12/2022,87.419998,87.940002,85.959999,86.370003,86.370003,11561400,DIS
28/12/2022,86.080002,86.690002,84.07,84.169998,84.169998,12399500,DIS
29/12/2022,85.25,88.239998,84.970001,87.18,87.18,13045100,DIS
30/12/2022,85.730003,87.120003,85.230003,86.879997,86.879997,23218800,DIS
03/01/2023,88.980003,89.970001,87.830002,88.970001,88.970001,14997100,DIS
04/01/2023,90,92.75,89.360001,91.980003,91.980003,14957200,DIS
05/01/2023,91.660004,92.480003,90.510002,91.919998,91.919998,11622600,DIS
06/01/2023,92.660004,94.690002,91.32,93.919998,93.919998,9823200,DIS
09/01/2023,94.43,95.699997,93.449997,94.769997,94.769997,11675800,DIS
10/01/2023,94.279999,95.639999,93.82,95.559998,95.559998,6914600,DIS
11/01/2023,95.919998,96.550003,95.050003,96.330002,96.330002,8757300,DIS
12/01/2023,98.5,100.629997,97.57,99.809998,99.809998,19764300,DIS
13/01/2023,99.379997,99.599998,98.010002,99.400002,99.400002,12220500,DIS
17/01/2023,100.32,100.989998,99,99.910004,99.910004,14914200,DIS
18/01/2023,100.279999,101.129997,98.720001,99.040001,99.040001,11384500,DIS
19/01/2023,98.120003,99.449997,97.120003,99.080002,99.080002,10973600,DIS
20/01/2023,100.339996,103.589996,99.300003,103.480003,103.480003,14540500,DIS
23/01/2023,103.290001,105.949997,102.919998,105.690002,105.690002,11479100,DIS
24/01/2023,105.389999,108.440002,102,106,106,8606700,DIS
25/01/2023,104.959999,108.160004,104.18,108.120003,108.120003,10008000,DIS
26/01/2023,108.169998,109.760002,107.57,109.699997,109.699997,9204400,DIS
27/01/2023,109.260002,110.580002,109.160004,109.540001,109.540001,10242900,DIS
30/01/2023,108.260002,108.970001,107.480003,107.589996,107.589996,8548500,DIS
31/01/2023,107.580002,108.720001,107.449997,108.489998,108.489998,8251700,DIS
01/02/2023,108.5,109.940002,106.900002,109.389999,109.389999,9948300,DIS
